longitude,latitude,IPaddress
32.7831,-96.8067,199.249.230.164
32.7831,-96.8067,199.249.230.181
32.7831,-96.8067,199.249.230.174
32.7831,-96.8067,199.249.230.185
32.7831,-96.8067,199.249.230.170
32.7831,-96.8067,199.249.230.159
32.7831,-96.8067,199.249.230.156
32.7831,-96.8067,199.249.230.153
32.7831,-96.8067,199.249.230.158
32.7831,-96.8067,199.249.230.157
32.7831,-96.8067,199.249.230.154
32.7831,-96.8067,199.249.230.172
32.7831,-96.8067,199.249.230.163
32.7831,-96.8067,199.249.230.189
40.4406,-79.9959,204.194.29.4
36.1750,-115.1372,209.141.34.95
36.1750,-115.1372,209.141.54.195
36.1750,-115.1372,209.141.45.189
36.1750,-115.1372,209.141.45.189
51.5085,-0.1257,141.98.252.163
60.4674,22.0243,185.185.170.27
52.3740,4.8897,94.142.244.16
49.6117,6.1300,104.244.73.43
50.4547,30.5238,193.218.118.155
50.4547,30.5238,193.218.118.156
36.1750,-115.1372,209.141.53.20
52.5650,13.7281,185.220.101.1
49.2803,11.4628,185.220.101.146
49.2803,11.4628,185.220.101.133
37.9838,23.7278,185.4.132.183
37.9838,23.7278,185.4.132.135
45.5234,-122.6762,184.105.220.24
52.3740,4.8897,94.142.241.194
52.3740,4.8897,94.142.241.194
59.3294,18.0687,171.25.193.78
59.3294,18.0687,171.25.193.25
37.3688,-122.0363,71.19.144.89
50.4547,30.5238,193.218.118.125
50.4547,30.5238,193.218.118.145
43.6043,1.4437,185.235.146.29
52.5244,13.4105,185.220.102.250
52.5244,13.4105,185.220.102.252
52.5244,13.4105,185.220.102.251
52.5244,13.4105,185.220.102.253
52.5244,13.4105,185.220.102.254
52.5244,13.4105,185.220.102.250
52.5244,13.4105,185.220.102.249
52.5244,13.4105,185.220.102.252
52.5244,13.4105,185.220.102.253
52.5244,13.4105,185.220.102.254
52.5244,13.4105,185.220.102.248
52.5244,13.4105,185.220.102.249
52.5244,13.4105,185.220.102.251
52.5244,13.4105,185.220.102.248
55.4904,9.4722,185.38.175.72
37.7749,-122.4194,74.82.47.194
52.3740,4.8897,45.141.159.63
52.5650,13.7281,185.220.101.1
52.3740,4.8897,185.107.47.215
47.5220,8.5405,179.43.160.237
47.5220,8.5405,179.43.160.234
47.5220,8.5405,179.43.160.235
47.5220,8.5405,179.43.160.238
47.5220,8.5405,179.43.160.236
50.9865,2.1281,54.38.22.61
56.1365,40.3966,84.53.225.118
55.7522,37.6156,45.90.218.192
59.3294,18.0687,193.189.100.202
59.9386,30.3141,78.40.217.86
59.3294,18.0687,193.189.100.194
59.3294,18.0687,193.189.100.199
59.3294,18.0687,193.189.100.201
59.3294,18.0687,193.189.100.195
59.3294,18.0687,193.189.100.200
